Reg_cislo,Poradi,CJL_body,MA_body,MA_skola,Celkem,Prijat,Důvod_neprijeti
809617,198,21,34,51,72,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819388,199,27,30,45,72,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816238,200,22,33,49.5,71.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817328,201,26,30,45,71,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800314,202,26,30,45,71,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
802386,203,21,33,49.5,70.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809273,204,21,33,49.5,70.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814683,205,30,27,40.5,70.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
804996,206,19,34,51,70,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815793,207,19,34,51,70,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811588,208,20,33,49.5,69.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805637,209,23,31,46.5,69.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806189,210,18,34,51,69,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819646,211,27,28,42,69,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810036,212,27,28,42,69,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809833,213,16,35,52.5,68.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815772,214,22,31,46.5,68.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811423,215,25,29,43.5,68.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801457,216,20,32,48,68,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805540,217,23,30,45,68,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811350,218,23,30,45,68,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812746,219,17,33,49.5,66.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806596,220,19,31,46.5,65.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818074,221,21,29,43.5,64.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818328,222,21,29,43.5,64.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817203,223,21,28,42,63,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812453,224,27,24,36,63,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809660,225,16,31,46.5,62.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815922,226,15,31,46.5,61.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805187,227,15,31,46.5,61.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819215,228,21,25,37.5,58.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814058,230,10,32,48,58,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810015,231,23,23,34.5,57.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818156,232,15,28,42,57,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818365,233,18,26,39,57,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805879,234,16,27,40.5,56.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801919,235,25,21,31.5,56.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817655,236,20,24,36,56,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810332,237,18,25,37.5,55.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814045,238,13,28,42,55,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809683,239,12,28,42,54,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809559,240,15,26,39,54,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813473,241,15,26,39,54,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812128,242,19,23,34.5,53.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
